iteration,time,result
6793304,3600.182683467865,46148979236416
6793305,3600.183202266693,46148992823025
6793306,3600.1837208271027,46149006409636
6793307,3600.1842386722565,46149019996249
6793308,3600.1847579479218,46149033582864
6793309,3600.1852769851685,46149047169481
6793310,3600.1857974529266,46149060756100
6793311,3600.1863145828247,46149074342721
6793312,3600.1868329048157,46149087929344
6793313,3600.1874117851257,46149101515969
6793314,3600.187948703766,46149115102596
6793315,3600.188465833664,46149128689225
6793316,3600.1889810562134,46149142275856
6793317,3600.189496278763,46149155862489
6793318,3600.190066576004,46149169449124
6793319,3600.1905884742737,46149183035761
6793320,3600.1911103725433,46149196622400
6793321,3600.19162607193,46149210209041
6793322,3600.1921429634094,46149223795684
6793323,3600.192659854889,46149237382329
6793324,3600.1931750774384,46149250968976
6793325,3600.193694114685,46149264555625
6793326,3600.1942114830017,46149278142276
6793327,3600.19473028183,46149291728929
6793328,3600.1952509880066,46149305315584
6793329,3600.1957683563232,46149318902241
6793330,3600.1962854862213,46149332488900
6793331,3600.196800470352,46149346075561
6793332,3600.197402238846,46149359662224
6793333,3600.197990655899,46149373248889
6793334,3600.19851231575,46149386835556
6793335,3600.199031352997,46149400422225
6793336,3600.199546098709,46149414008896
6793337,3600.200062274933,46149427595569
6793338,3600.2005791664124,46149441182244
6793339,3600.201098203659,46149454768921
6793340,3600.2016150951385,46149468355600
6793341,3600.202131509781,46149481942281
6793342,3600.2026495933533,46149495528964
6793343,3600.2031683921814,46149509115649
6793344,3600.203685283661,46149522702336
6793345,3600.2042026519775,46149536289025
6793346,3600.204721212387,46149549875716
6793347,3600.205236673355,46149563462409
6793348,3600.2057967185974,46149577049104
6793349,3600.206321954727,46149590635801
6793350,3600.206838130951,46149604222500
6793351,3600.2074909210205,46149617809201
6793352,3600.2080154418945,46149631395904
6793353,3600.208532333374,46149644982609
6793354,3600.2090504169464,46149658569316
6793355,3600.2095682621,46149672156025
6793356,3600.2100846767426,46149685742736
6793357,3600.210603237152,46149699329449
6793358,3600.211117744446,46149712916164
6793359,3600.2116346359253,46149726502881
6793360,3600.212151527405,46149740089600
6793361,3600.212666749954,46149753676321
6793362,3600.213184118271,46149767263044
6793363,3600.2137444019318,46149780849769
6793364,3600.214273452759,46149794436496
6793365,3600.21484208107,46149808023225
6793366,3600.215364933014,46149821609956
6793367,3600.215881586075,46149835196689
6793368,3600.2163965702057,46149848783424
6793369,3600.216915369034,46149862370161
6793370,3600.2175159454346,46149875956900
6793371,3600.2180454730988,46149889543641
6793372,3600.218565940857,46149903130384
6793373,3600.2190828323364,46149916717129
6793374,3600.2195975780487,46149930303876
6793375,3600.220115184784,46149943890625
6793376,3600.2206330299377,46149957477376
6793377,3600.2211484909058,46149971064129
6793378,3600.2217168807983,46149984650884
6793379,3600.2222435474396,46149998237641
6793380,3600.2227685451508,46150011824400
6793381,3600.223284482956,46150025411161
6793382,3600.223802089691,46150038997924
6793383,3600.2243201732635,46150052584689
6793384,3600.2248401641846,46150066171456
6793385,3600.22535777092,46150079758225
6793386,3600.2258739471436,46150093344996
6793387,3600.22639131546,46150106931769
6793388,3600.226907968521,46150120518544
6793389,3600.2275671958923,46150134105321
6793390,3600.228090286255,46150147692100
6793391,3600.2286064624786,46150161278881
6793392,3600.2291207313538,46150174865664
6793393,3600.2296788692474,46150188452449
6793394,3600.230209350586,46150202039236
6793395,3600.2307279109955,46150215626025
6793396,3600.2312440872192,46150229212816
6793397,3600.2317609786987,46150242799609
6793398,3600.232280254364,46150256386404
6793399,3600.2327983379364,46150269973201
6793400,3600.2333176136017,46150283560000
6793401,3600.2338359355927,46150297146801
6793402,3600.234352827072,46150310733604
6793403,3600.2348692417145,46150324320409
6793404,3600.2353880405426,46150337907216
6793405,3600.235907793045,46150351494025
6793406,3600.236425638199,46150365080836
6793407,3600.2369906902313,46150378667649
6793408,3600.2375767230988,46150392254464
6793409,3600.2381258010864,46150405841281
6793410,3600.2386479377747,46150419428100
6793411,3600.239168405533,46150433014921
6793412,3600.239686489105,46150446601744
6793413,3600.240203857422,46150460188569
6793414,3600.240720272064,46150473775396
6793415,3600.241241455078,46150487362225
6793416,3600.2417595386505,46150500949056
6793417,3600.2422773838043,46150514535889
6793418,3600.242793560028,46150528122724
6793419,3600.2433099746704,46150541709561
6793420,3600.24383020401,46150555296400
6793421,3600.2443475723267,46150568883241
